"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Este equipo multisectorial inspeccionará los centros de salud donde se realiza triaje diferenciado para #COVID19, s… https://t.co/NAYp5wMi1z",FALSE,12,"Minsa_Peru",2020-05-19 16:13:30,TRUE,"1262778414467026946","1262778415461138438","138471254","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Minsa_Peru",2,FALSE,FALSE,NA,NA
"2","Estos fueron entregados por el viceministro de Prestaciones y Aseguramiento en Salud, Victor Bocangel en conjunto c… https://t.co/qTNIFn0ot9",FALSE,12,"Minsa_Peru",2020-05-19 16:13:29,TRUE,"1262778412629995521","1262778414467026946","138471254","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Minsa_Peru",1,FALSE,FALSE,NA,NA
"3","Hoy, llevamos 2.2 toneladas en equipos de protección personal a Cusco. Entre los insumos para la lucha contra el… https://t.co/yvgiGLkICg",FALSE,66,NA,2020-05-19 16:13:29,TRUE,NA,"1262778412629995521",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Minsa_Peru",8,FALSE,FALSE,NA,NA
"4","Proteger la salud de los niños<U+0001F466><U+0001F467> del #COVID19 está en nuestras manos. Si como padre de familia has decidido salir c… https://t.co/2iz2d1889l",FALSE,78,NA,2020-05-19 15:07:29,TRUE,NA,"1262761804603617289",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","Minsa_Peru",26,FALSE,FALSE,NA,NA
"5","Durante los 15 días de aislamiento, los pacientes con Covid-19 son evaluados permanentemente por un equipo que tamb… https://t.co/R68C8Coujm",FALSE,242,NA,2020-05-19 01:30:00,TRUE,NA,"1262556076643241985",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Minsa_Peru",57,FALSE,FALSE,NA,NA
"6","¡Seguimos protegiendo a los más vulnerables! En Barranco, las brigadas de vacunación visitaron las casas de menores… https://t.co/VDvmi2EMrK",FALSE,239,NA,2020-05-19 00:58:55,TRUE,NA,"1262548255759634433",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Minsa_Peru",48,FALSE,FALSE,NA,NA
"7","Ministro @victorzamora: La próxima semana expertos de China empezarán a trabajar con nuestros profesionales para la… https://t.co/uU3n68ieTU",FALSE,160,"Minsa_Peru",2020-05-18 22:52:25,TRUE,"1262516416764395522","1262516417963986951","138471254","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Minsa_Peru",31,FALSE,FALSE,NA,NA
"8","Ministro @victorzamora: Agradezco el apoyo solidario de la República Popular China, quien nos ha donado ventiladore… https://t.co/LZvFTtewcc",FALSE,127,"Minsa_Peru",2020-05-18 22:52:24,TRUE,"1262516415665524737","1262516416764395522","138471254","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Minsa_Peru",21,FALSE,FALSE,NA,NA
"9","Ministro @victorzamora: Gracias a todos los trabajadores que han entendido que #LaSaludNosUne. Estos equipos ya pro… https://t.co/AvllhQLkwm",FALSE,60,"Minsa_Peru",2020-05-18 22:52:24,TRUE,"1262516413757038592","1262516415665524737","138471254","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Minsa_Peru",12,FALSE,FALSE,NA,NA
"10","El embajador de la República Popular China en el Perú, Liang Yu, destacó los estrechos lazos de amistad entre los d… https://t.co/baXhZlTU2T",FALSE,76,"Minsa_Peru",2020-05-18 22:52:24,TRUE,"1262516411995471878","1262516413757038592","138471254","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Minsa_Peru",19,FALSE,FALSE,NA,NA
"11","Desde hoy, niñas, niños y adolescentes podrán salir fuera de casa acompañados de un adulto. Si como padre de famili… https://t.co/qnbYaAQ6Kd",FALSE,164,NA,2020-05-18 20:03:21,TRUE,NA,"1262473871736868864",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Minsa_Peru",54,FALSE,FALSE,NA,NA
"12","ACTUALIZACIÓN | Esta es la situación del coronavirus #COVID19 en Perú hasta las 00:00 horas del 18 de mayo.… https://t.co/LDE0PAzPFc",FALSE,1634,NA,2020-05-18 19:40:25,TRUE,NA,"1262468103180619782",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Minsa_Peru",999,FALSE,FALSE,NA,NA
"13","¡Empezamos la Semana de la Maternidad Saludable, Segura y Voluntaria!<U+0001F642> Compartimos cuatro indicaciones que mamá<U+0001F930> de… https://t.co/xMuz22jiCw",FALSE,152,NA,2020-05-18 16:14:04,TRUE,NA,"1262416173020459010",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Minsa_Peru",48,FALSE,FALSE,NA,NA
"14","¡Atención, padres!<U+0001F4E3>Emitimos la alerta epidemiológica Nº17-2020 con información de los distritos con alto riesgo de… https://t.co/rQCMFCvpgR",FALSE,1097,NA,2020-05-18 12:49:45,TRUE,NA,"1262364753571299328",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Minsa_Peru",743,FALSE,FALSE,NA,NA
